type,edftype,latency,urevent,duration,endtime,sac_amplitude,sac_endpos_x,sac_endpos_y,sac_startpos_x,sac_startpos_y,sac_vmax,fix_avgpos_x,fix_avgpos_y,fix_avgpupilsize,sac_angle,trial,phase,mss,ontarget,ondistractor,present,correct,stm,inrange,bad,multi,rank,refix,scrank
fixation,0.0,94220.0,21340.0,138,0.0,4.83876378360866,1267.06262207031,224.278625488281,1520.36840820312,313.663146972656,189.976341332218,1251.88439941406,220.351135253906,0.0,-160.494496840151,6.0,vs,1.0,False,True,False,False,teddy bear532.png,True,False,0.0,5.0,1.0,0.21052631578947367
fixation,0.0,94379.0,21341.0,69,0.0,3.96860033807373,1058.30603027344,341.347045898438,1241.423828125,225.8291015625,263.594971875014,1045.28356933594,333.611236572266,0.0,147.950872291046,6.0,vs,1.0,False,True,False,False,teddy bear440.png,True,False,1.0,6.0,0.0,0.2631578947368421
fixation,0.0,94456.0,21342.0,98,0.0,0.700488233537093,1069.63464355469,349.930816650391,1035.63061523438,325.136810302734,56.0089133677911,1060.71960449219,334.269836425781,0.0,34.5720298755273,6.0,vs,1.0,False,True,False,False,teddy bear440.png,True,False,2.0,7.0,0.0,0.3157894736842105
fixation,0.0,94575.0,21343.0,55,0.0,5.9423777370025,728.667114257812,320.066436767578,1057.228515625,336.193481445312,224.471189983835,740.723083496094,327.421691894531,0.0,-177.146921010038,6.0,vs,1.0,False,True,False,False,teddy bear809.png,True,False,0.0,8.0,0.0,0.3684210526315789
fixation,0.0,94651.0,21344.0,82,0.0,2.93626138882246,651.765747070312,189.373962402344,745.039855957031,321.299987792969,158.457072123413,650.193603515625,180.245803833008,0.0,-124.09662446202,6.0,vs,1.0,False,True,False,False,teddy bear508.png,True,False,0.0,9.0,0.0,0.42105263157894735
fixation,0.0,94758.0,21345.0,78,0.0,5.22337511032574,433.028869628906,357.227813720703,645.667846679688,170.367813110352,275.111487873817,414.848175048828,348.457794189453,0.0,138.932252421966,6.0,vs,1.0,False,True,False,False,teddy bear439.png,True,False,0.0,10.0,0.0,0.47368421052631576
fixation,0.0,94855.0,21346.0,103,0.0,4.09020248368144,601.838684082031,466.567108154297,406.568725585938,350.053741455078,190.51342089901,584.22021484375,477.711364746094,0.0,30.4823053431573,6.0,vs,1.0,False,True,False,False,teddy bear538.png,True,False,0.0,11.0,0.0,0.5263157894736842
fixation,0.0,94972.0,21347.0,134,0.0,1.71589171414185,619.331848144531,573.394714355469,590.738159179688,484.025146484375,158.769761578895,616.539123535156,574.285827636719,0.0,72.6358857851215,6.0,vs,1.0,False,True,False,False,teddy bear505.png,True,False,0.0,12.0,0.0,0.5789473684210527
fixation,0.0,95131.0,21348.0,145,0.0,4.50130737255859,758.043579101562,773.345764160156,615.604736328125,572.871032714844,265.799133511534,765.837829589844,763.604125976562,0.0,54.306195468084,6.0,vs,1.0,False,True,False,False,teddy bear557.png,True,False,0.0,13.0,0.0,0.631578947368421
fixation,0.0,95305.0,21349.0,165,0.0,6.757306390625,1089.69055175781,929.49072265625,760.290588378906,767.045104980469,314.299273216437,1113.32141113281,936.911193847656,0.0,26.265591491027,6.0,vs,1.0,False,True,False,False,teddy bear518.png,True,False,0.0,14.0,0.0,0.6842105263157895
fixation,0.0,95499.0,21350.0,165,0.0,6.34534988562012,1362.82751464844,691.900024414062,1123.07421875,940.525756835938,242.665798239539,1376.52099609375,688.294616699219,0.0,-45.8822567873296,6.0,vs,1.0,False,True,False,False,teddy bear753.png,True,False,0.0,15.0,2.0,0.7368421052631579
fixation,0.0,95688.0,21351.0,87,0.0,4.67388322866589,1240.62976074219,467.962738037109,1381.86889648438,682.772216796875,143.329025045733,1244.37585449219,466.139373779297,0.0,-122.560645035776,6.0,vs,1.0,False,True,False,False,teddy bear555.png,True,False,1.0,16.0,0.0,0.7894736842105263
